LAU1,vaccination_count,infected_count,0-14,15-59,60+,název,infected_percentage,vaccinated_percentage,kids_percentage,outlier,infection_category,vaccination_category,normalized_infected_count
CZ0100,76421,150427,212824,802869,319391,Praha,0.1126723112553217,0.057240593101258,0.1594086963816509,0,Malý,Střední,1.0
CZ0201,6493,12392,16757,56147,26838,Benešov,0.1242405405947344,0.0650979527180124,0.1680034488981572,0,Střední,Velký,0.06342658244166559
CZ0202,5815,12161,17267,56189,22947,Beroun,0.1261475265292574,0.0603196995944109,0.1791126832152526,0,Střední,Střední,0.06185923749686192
CZ0203,10111,20902,28172,97381,41292,Kladno,0.1252779525907279,0.0606011567622643,0.1688513290778866,0,Střední,Střední,0.12116729880651093
CZ0204,6730,15447,18311,61291,26654,Kolín,0.1453753199819304,0.0633375997590724,0.1723290920042162,0,Velký,Velký,0.08415488896277047
CZ0205,4520,9176,11883,43328,21099,Kutná Hora,0.1202463635172323,0.0592320796750098,0.1557200891102083,0,Střední,Střední,0.04160588398933391
CZ0206,6131,14567,18851,64691,26445,Mělník,0.1324429250729631,0.0557429514397156,0.171392982807059,0,Velký,Malý,0.07818405107780409
CZ0207,7650,17712,21681,77735,31626,Mladá Boleslav,0.1351627722409609,0.0583782298804963,0.1654507715083713,0,Velký,Střední,0.0995230114735078
CZ0208,5761,13318,17413,57592,24210,Nymburk,0.1342337348183238,0.0580658166607871,0.1755077357254447,0,Velký,Střední,0.06970953230698249
CZ0209,10759,25156,40033,111846,37060,Praha-východ,0.1331435013417028,0.0569443047756154,0.1762287252234063,outlier+,Velký,Malý,0.1500308719458825
CZ020A,10509,18478,31887,89380,31018,Praha-západ,0.1213382801983123,0.0690087664576287,0.1762287252234063,outlier+,Střední,Velký,0.10472035445064899
CZ020B,7482,12517,18173,65739,31324,Příbram,0.1086205699607761,0.0649276267832968,0.1577024540942066,0,Malý,Velký,0.06427471282305286
CZ020C,3608,6019,8853,31632,15252,Rakovník,0.1079893069235875,0.0647325833826722,0.1588352440927929,0,Malý,Velký,0.020185503077017025
CZ0311,11607,25262,32988,113304,50310,České Budějovice,0.1284930977304401,0.0590380565813165,0.1677907650990325,0,Velký,Střední,0.15075008650929891
CZ0312,3915,7396,10060,35720,15540,Český Krumlov,0.1206131767775603,0.0638454011741683,0.1640574037834311,0,Střední,Velký,0.02952850735837919
CZ0313,6845,11641,13625,50621,26033,Jindřichův Hradec,0.1289447158253857,0.0758205119684533,0.150921033684467,0,Velký,Velký,0.058331015110290874
CZ0314,4856,9553,10932,40166,20490,Písek,0.1334441526512823,0.0678325976420629,0.1527071576241828,0,Velký,Velký,0.044163845219597916
CZ0315,3442,6228,7916,29256,13607,Prachatice,0.1226491266074558,0.0677839264262785,0.1558912148722897,0,Střední,Velký,0.02160357707469654
CZ0316,4357,8976,11062,39834,19636,Strakonice,0.1272613849033063,0.0617733794589689,0.1568366131684909,0,Velký,Střední,0.04024887537911428
CZ0317,5978,11597,15907,57558,28986,Tábor,0.1131955764218992,0.0583498452918956,0.1552644678919678,0,Malý,Střední,0.05803247321604255
CZ0321,2948,6495,8772,31847,14649,Domažlice,0.117518274589274,0.0533400882970254,0.1587175218933198,0,Střední,Malý,0.023415183569339748
CZ0322,4349,11390,12745,48705,24803,Klatovy,0.1320533778535239,0.0504214346167669,0.1477629763602425,0,Velký,Malý,0.05662796930446524
CZ0323,10715,26031,30268,112584,51988,Plzeň-město,0.1336019297885444,0.05499384110039,0.1553479778279614,0,Velký,Malý,0.15596778461559338
CZ0324,4587,9538,11078,40467,18586,Plzeň-jih,0.1360026236614336,0.0654061684561748,0.1579615291383268,0,Velký,Velký,0.04406206957383144
CZ0325,4822,10823,13154,47348,20169,Plzeň-sever,0.1341622144264977,0.0597736485230132,0.163057356423002,0,Velký,Střední,0.05278084989449258
CZ0326,3738,7256,7742,28459,13288,Rokycany,0.1466184404615167,0.0755319363899048,0.1564388045828366,0,Velký,Velký,0.028578601331225445
CZ0327,2735,7074,8541,32516,13332,Tachov,0.130063064222545,0.0502859033995844,0.1570354299582636,0,Velký,Malý,0.027343723495925582
CZ0411,4083,10698,14089,52824,24521,Cheb,0.1170024279808386,0.0446551610998097,0.1540892884484983,0,Střední,Malý,0.05193271951310531
CZ0412,5254,12186,16668,65425,32281,Karlovy Vary,0.1065451938377603,0.04593701365695,0.1457324217042334,0,Malý,Malý,0.06202886357313937
