count,kraj,vek
71,CZ041,0
407,CZ020,0
150,CZ032,0
174,CZ031,0
422,CZ080,0
306,CZ064,0
189,CZ053,0
451,CZ010,0
229,CZ042,0
97,CZ051,0
147,CZ052,0
292,CZ072,0
117,CZ063,0
193,CZ071,0
513,CZ053,1
467,CZ071,1
348,CZ051,1
903,CZ080,1
205,CZ041,1
502,CZ031,1
689,CZ064,1
601,CZ052,1
1274,CZ020,1
671,CZ042,1
547,CZ072,1
1160,CZ010,1
304,CZ063,1
443,CZ032,1
644,CZ052,2
449,CZ051,2
1324,CZ010,2
663,CZ053,2
769,CZ042,2
346,CZ063,2
515,CZ071,2
518,CZ032,2
260,CZ041,2
1052,CZ080,2
556,CZ031,2
812,CZ064,2
605,CZ072,2
1517,CZ020,2
2014,CZ020,3
1048,CZ064,3
428,CZ063,3
837,CZ042,3
721,CZ072,3
647,CZ071,3
273,CZ041,3
1196,CZ080,3
744,CZ031,3
774,CZ052,3
717,CZ053,3
562,CZ051,3
683,CZ032,3
1626,CZ010,3
1934,CZ010,4
742,CZ072,4
1284,CZ080,4
336,CZ041,4
751,CZ051,4
857,CZ032,4
858,CZ031,4
950,CZ052,4
478,CZ063,4
796,CZ053,4
1307,CZ064,4
920,CZ042,4
2462,CZ020,4
735,CZ071,4
844,CZ072,5
1018,CZ042,5
1420,CZ064,5
918,CZ071,5
2110,CZ010,5
1047,CZ052,5
2770,CZ020,5
977,CZ032,5
800,CZ051,5
940,CZ031,5
335,CZ041,5
1533,CZ080,5
556,CZ063,5
924,CZ053,5
2403,CZ010,6
1038,CZ032,6
1023,CZ053,6
376,CZ041,6
1095,CZ042,6
612,CZ063,6
863,CZ051,6
3023,CZ020,6
1734,CZ064,6
929,CZ072,6
1050,CZ071,6
1074,CZ031,6
1087,CZ052,6
1689,CZ080,6
1056,CZ052,7
1092,CZ053,7
1104,CZ032,7
2693,CZ010,7
943,CZ072,7
3343,CZ020,7
1180,CZ031,7
1804,CZ064,7
721,CZ063,7
848,CZ051,7
367,CZ041,7
1192,CZ042,7
1977,CZ080,7
1145,CZ071,7
3522,CZ020,8
1909,CZ064,8
1052,CZ052,8
1260,CZ042,8
902,CZ051,8
2850,CZ010,8
1088,CZ072,8
1103,CZ053,8
2151,CZ080,8
1170,CZ071,8
1172,CZ032,8
1259,CZ031,8
397,CZ041,8
738,CZ063,8
1099,CZ052,9
1331,CZ042,9
2346,CZ080,9
1487,CZ031,9
1321,CZ071,9
2126,CZ064,9
859,CZ063,9
3067,CZ010,9
3698,CZ020,9
348,CZ041,9
1008,CZ051,9
1187,CZ072,9
1249,CZ032,9
1192,CZ053,9
3863,CZ020,10
2332,CZ064,10
1395,CZ032,10
1000,CZ051,10
399,CZ041,10
3214,CZ010,10
2547,CZ080,10
1461,CZ071,10
1419,CZ042,10
1202,CZ072,10
919,CZ063,10
1144,CZ052,10
1273,CZ053,10
1487,CZ031,10
1446,CZ072,11
1221,CZ052,11
1558,CZ032,11
4283,CZ020,11
1046,CZ063,11
417,CZ041,11
3440,CZ010,11
2648,CZ064,11
1057,CZ051,11
1635,CZ031,11
1717,CZ071,11
1446,CZ053,11
1650,CZ042,11
3048,CZ080,11
2540,CZ064,12
2893,CZ080,12
1616,CZ031,12
1418,CZ032,12
1362,CZ053,12
1071,CZ051,12
1054,CZ063,12
4099,CZ020,12
1581,CZ071,12
472,CZ041,12
1424,CZ072,12
1625,CZ042,12
