count,okres_lau_kod
6495,CZ0321
12701,CZ0635
12747,CZ0632
20902,CZ0203
25709,CZ0532
12237,CZ0644
16850,CZ0804
11597,CZ0317
14487,CZ0715
13318,CZ0208
12377,CZ0512
10413,CZ0524
9176,CZ0205
27897,CZ0803
10823,CZ0325
10013,CZ0522
10750,CZ0413
7074,CZ0327
10698,CZ0411
13361,CZ0647
12505,CZ0533
6228,CZ0315
13952,CZ0722
22688,CZ0724
13795,CZ0531
15770,CZ0714
10482,CZ0634
12392,CZ0201
30725,CZ0712
13595,CZ0427
22906,CZ0521
150427,CZ0100
9538,CZ0324
13855,CZ0523
12908,CZ0641
15483,CZ0723
14567,CZ0206
7396,CZ0312
13034,CZ0511
13264,CZ0713
19230,CZ0534
41677,CZ0642
23122,CZ0805
22364,CZ0513
13865,CZ0426
26031,CZ0323
11390,CZ0322
37661,CZ0806
17712,CZ0207
12416,CZ0425
8708,CZ0514
11641,CZ0313
15447,CZ0204
7256,CZ0326
12517,CZ020B
18478,CZ020A
9701,CZ0424
9611,CZ0801
8976,CZ0316
10924,CZ0721
25156,CZ0209
15633,CZ0421
25236,CZ0802
6019,CZ020C
9553,CZ0314
11854,CZ0646
12186,CZ0412
3044,CZ0711
13144,CZ0423
12161,CZ0202
7750,CZ0633
16070,CZ0525
10177,CZ0631
11669,CZ0422
26771,CZ0643
25262,CZ0311
15551,CZ0645
