nakazenych,year,month,quarter,kraj,Název kraje,celkovy pocet
1343,2021,10,4,CZ051,Liberecký kraj,442476
13102,2021,2,1,CZ041,Karlovarský kraj,293311
181,2020,8,3,CZ051,Liberecký kraj,442476
10323,2021,1,1,CZ041,Karlovarský kraj,293311
40306,2021,2,1,CZ020,Středočeský kraj,1397997
487,2021,9,3,CZ071,Olomoucký kraj,630522
193,2020,4,2,CZ072,Zlínský kraj,580119
1441,2020,6,2,CZ080,Moravskoslezský kraj,1192834
2972,2021,5,2,CZ020,Středočeský kraj,1397997
2358,2020,9,3,CZ042,Ústecký kraj,817004
166,2020,3,1,CZ032,Plzeňský kraj,591041
81,2020,4,2,CZ052,Královéhradecký kraj,550803
231,2021,8,3,CZ071,Olomoucký kraj,630522
266,2020,8,3,CZ071,Olomoucký kraj,630522
25824,2021,1,1,CZ010,Hlavní město Praha,1335084
2387,2021,5,2,CZ072,Zlínský kraj,580119
10786,2021,4,2,CZ020,Středočeský kraj,1397997
3406,2021,5,2,CZ064,Jihomoravský kraj,1195327
17757,2020,10,4,CZ031,Jihočeský kraj,643551
9208,2020,11,4,CZ051,Liberecký kraj,442476
351,2021,7,3,CZ080,Moravskoslezský kraj,1192834
901,2020,7,3,CZ010,Hlavní město Praha,1335084
172,2021,6,2,CZ053,Pardubický kraj,522856
125,2021,7,3,CZ071,Olomoucký kraj,630522
278,2020,8,3,CZ052,Královéhradecký kraj,550803
16286,2021,3,1,CZ051,Liberecký kraj,442476
2916,2021,10,4,CZ042,Ústecký kraj,817004
25144,2020,10,4,CZ064,Jihomoravský kraj,1195327
329,2020,7,3,CZ064,Jihomoravský kraj,1195327
1903,2021,9,3,CZ080,Moravskoslezský kraj,1192834
762,2020,8,3,CZ064,Jihomoravský kraj,1195327
277,2020,8,3,CZ042,Ústecký kraj,817004
10053,2021,4,2,CZ064,Jihomoravský kraj,1195327
13093,2021,11,4,CZ032,Plzeňský kraj,591041
12590,2021,1,1,CZ031,Jihočeský kraj,643551
39,2020,5,2,CZ072,Zlínský kraj,580119
581,2020,7,3,CZ020,Středočeský kraj,1397997
15181,2020,10,4,CZ052,Královéhradecký kraj,550803
12844,2020,10,4,CZ063,Kraj Vysočina,508852
19889,2020,10,4,CZ072,Zlínský kraj,580119
