KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
"CS","INTERVAL",7700,"200002000001000","(-2; -1>","-2 až -1 (více než -2 a méně nebo rovno -1)","01.01.1900","09.09.9999",-2,,,-1,
"CS","INTERVAL",7700,"200003000002000","(-3; -2>","-3 až -2 (více než -3 a méně nebo rovno -2)","01.01.1900","09.09.9999",-3,,,-2,
"CS","INTERVAL",7700,"200005000003000","(-5; -3>","-5 až -3 (více než -5 a méně nebo rovno -3)","01.01.1900","09.09.9999",-5,,,-3,
"CS","INTERVAL",7700,"200007000005000","(-7; -5>","-7 až -5 (více než -7 a méně nebo rovno -5)","01.01.1900","09.09.9999",-7,,,-5,
"CS","INTERVAL",7700,"210010000007000","(-10; -7>","-10 až -7 (více než -10 a méně nebo rovno -7)","01.01.1900","09.09.9999",-10,,,-7,
"CS","INTERVAL",7700,"220100010010000","(-100; -10>","-100 až -10 (více než -100 a méně nebo rovno -10)","01.01.1900","09.09.9999",-100,,,-10,
"CS","INTERVAL",7700,"220101010010000","(-101; -10>","-101 až -10 (více než -101 a méně nebo rovno -10)","01.01.1900","09.09.9999",-101,,,-10,
"CS","INTERVAL",7700,"261000600000000","(-1 000 000; 0)","-1 000 000 až 0 (více než -1 000 000 a méně než 0)","01.01.1900","09.09.9999",-1000000,0,,,
"CS","INTERVAL",7700,"263000061000000","(-3 000 000; -1 000 000>","-3 000 000 až -1 000 000 (více než -3 000 000 a méně nebo rovno -1 000 000)","01.01.1900","09.09.9999",-3000000,,,-1000000,
"CS","INTERVAL",7700,"271000063000000","(-10 000 000; -3 000 000>","-10 000 000 až -3 000 000 (více než -10 000 000 a méně nebo rovno -3 000 000)","01.01.1900","09.09.9999",-10000000,,,-3000000,
"CS","INTERVAL",7700,"399999400001000","(-N; 1>","Do 1 (méně nebo rovno 1)","01.01.1900","09.09.9999",-99999999999999999999,,,1,
"CS","INTERVAL",7700,"399999400002000","(-N; 2>","Do 2 (méně nebo rovno 2)","01.01.1900","09.09.9999",-99999999999999999999,,,2,
"CS","INTERVAL",7700,"399999400003000","(-N; 3>","Do 3 (méně nebo rovno 3)","01.01.1900","09.09.9999",-99999999999999999999,,,3,
"CS","INTERVAL",7700,"399999400004000","(-N; 4>","Do 4 (méně nebo rovno 4)","01.01.1900","09.09.9999",-99999999999999999999,,,4,
"CS","INTERVAL",7700,"399999400006000","(-N; 6>","Do 6 (méně nebo rovno 6)","01.01.1900","09.09.9999",-99999999999999999999,,,6,
"CS","INTERVAL",7700,"399999410012000","(-N; 12>","Do 12 (méně nebo rovno 12)","01.01.1900","09.09.9999",-99999999999999999999,,,12,
"CS","INTERVAL",7700,"399999410020000","(-N; 20>","Do 20 (méně nebo rovno 20)","01.01.1900","09.09.9999",-99999999999999999999,,,20,
"CS","INTERVAL",7700,"399999410024000","(-N; 24>","Do 24 (méně nebo rovno 24)","01.01.1900","09.09.9999",-99999999999999999999,,,24,
"CS","INTERVAL",7700,"399999410030000","(-N; 30>","Do 30 (méně nebo rovno 30)","01.01.1900","09.09.9999",-99999999999999999999,,,30,
"CS","INTERVAL",7700,"399999410035000","(-N; 35>","Do 35 (méně nebo rovno 35)","01.01.1900","09.09.9999",-99999999999999999999,,,35,
"CS","INTERVAL",7700,"399999410050000","(-N; 50>","Do 50 (méně nebo rovno 50)","01.01.1900","09.09.9999",-99999999999999999999,,,50,
"CS","INTERVAL",7700,"399999410060000","(-N; 60>","Do 60 (méně nebo rovno 60)","01.01.1900","09.09.9999",-99999999999999999999,,,60,
"CS","INTERVAL",7700,"399999410096000","(-N; 96>","Do 96 (méně nebo rovno 96)","01.01.1900","09.09.9999",-99999999999999999999,,,96,
"CS","INTERVAL",7700,"399999420250000","(-N; 250>","Do 250 (méně nebo rovno 250)","01.01.1900","09.09.9999",-99999999999999999999,,,250,
"CS","INTERVAL",7700,"399999431909000","(-N; 1 909>","Do 1 909 (méně nebo rovno 1 909)","01.01.1900","09.09.9999",-99999999999999999999,,,1909,
"CS","INTERVAL",7700,"399999431919000","(-N; 1 919>","Do 1 919 (méně nebo rovno 1 919)","01.01.1900","09.09.9999",-99999999999999999999,,,1919,
"CS","INTERVAL",7700,"399999431959000","(-N; 1 959>","Do 1 959 (méně nebo rovno 1 959)","01.01.1900","09.09.9999",-99999999999999999999,,,1959,
"CS","INTERVAL",7700,"399999431960000","(-N; 1 960>","Do 1 960 (méně nebo rovno 1 960)","01.01.1900","09.09.9999",-99999999999999999999,,,1960,
"CS","INTERVAL",7700,"399999431969000","(-N; 1 969>","Do 1 969 (méně nebo rovno 1 969)","01.01.1900","09.09.9999",-99999999999999999999,,,1969,
"CS","INTERVAL",7700,"399999432006000","(-N; 2 006>","Do 2 006 (méně nebo rovno 2 006)","01.01.1900","09.09.9999",-99999999999999999999,,,2006,
