KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,KODRSO
"CS","OKRES_LAU",109,"CZ0100","Praha","Praha","01.01.2008","09.09.9999",40924
"CS","OKRES_LAU",109,"CZ0201","Benešov","Benešov","01.01.2008","09.09.9999",40169
"CS","OKRES_LAU",109,"CZ0202","Beroun","Beroun","01.01.2008","09.09.9999",40177
"CS","OKRES_LAU",109,"CZ0203","Kladno","Kladno","01.01.2008","09.09.9999",40185
"CS","OKRES_LAU",109,"CZ0204","Kolín","Kolín","01.01.2008","09.09.9999",40193
"CS","OKRES_LAU",109,"CZ0205","Kutná Hora","Kutná Hora","01.01.2008","09.09.9999",40207
"CS","OKRES_LAU",109,"CZ0206","Mělník","Mělník","01.01.2008","09.09.9999",40215
"CS","OKRES_LAU",109,"CZ0207","Mladá Boleslav","Mladá Boleslav","01.01.2008","09.09.9999",40223
"CS","OKRES_LAU",109,"CZ0208","Nymburk","Nymburk","01.01.2008","09.09.9999",40231
"CS","OKRES_LAU",109,"CZ0209","Praha-východ","Praha-východ","01.01.2008","09.09.9999",40240
"CS","OKRES_LAU",109,"CZ020A","Praha-západ","Praha-západ","01.01.2008","09.09.9999",40258
"CS","OKRES_LAU",109,"CZ020B","Příbram","Příbram","01.01.2008","09.09.9999",40266
"CS","OKRES_LAU",109,"CZ020C","Rakovník","Rakovník","01.01.2008","09.09.9999",40274
"CS","OKRES_LAU",109,"CZ0311","České Budějovice","České Budějovice","01.01.2008","09.09.9999",40282
"CS","OKRES_LAU",109,"CZ0312","Český Krumlov","Český Krumlov","01.01.2008","09.09.9999",40291
"CS","OKRES_LAU",109,"CZ0313","Jindřichův Hradec","Jindřichův Hradec","01.01.2008","09.09.9999",40304
"CS","OKRES_LAU",109,"CZ0314","Písek","Písek","01.01.2008","09.09.9999",40312
"CS","OKRES_LAU",109,"CZ0315","Prachatice","Prachatice","01.01.2008","09.09.9999",40321
"CS","OKRES_LAU",109,"CZ0316","Strakonice","Strakonice","01.01.2008","09.09.9999",40339
"CS","OKRES_LAU",109,"CZ0317","Tábor","Tábor","01.01.2008","09.09.9999",40347
"CS","OKRES_LAU",109,"CZ0321","Domažlice","Domažlice","01.01.2008","09.09.9999",40355
"CS","OKRES_LAU",109,"CZ0322","Klatovy","Klatovy","01.01.2008","09.09.9999",40363
"CS","OKRES_LAU",109,"CZ0323","Plzeň-město","Plzeň-město","01.01.2008","09.09.9999",40371
"CS","OKRES_LAU",109,"CZ0324","Plzeň-jih","Plzeň-jih","01.01.2008","09.09.9999",40380
"CS","OKRES_LAU",109,"CZ0325","Plzeň-sever","Plzeň-sever","01.01.2008","09.09.9999",40398
