NUTS 3,Název kraje,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CZ000,Česká republika,"10,266,546 ","10,206,436 ","10,203,269 ","10,211,455 ","10,220,577 ","10,251,079 ","10,287,189 ","10,381,130 ","10,467,542 ","10,506,813 ","10,532,770 ","10,505,445 ","10,516,125 ","10,512,419 ","10,538,275 ","10,553,843 ","10,578,820 ","10,610,055 ","10,649,800 ","10,693,939 ","10,701,777 "
CZ010,Hlavní město Praha,"1,181,126 ","1,160,118 ","1,161,938 ","1,165,581 ","1,170,571 ","1,181,610 ","1,188,126 ","1,212,097 ","1,233,211 ","1,249,026 ","1,257,158 ","1,241,664 ","1,246,780 ","1,243,201 ","1,259,079 ","1,267,449 ","1,280,508 ","1,294,513 ","1,308,632 ","1,324,277 ","1,335,084 "
CZ020,Středočeský kraj,"1,115,038 ","1,123,931 ","1,128,674 ","1,135,795 ","1,144,071 ","1,158,108 ","1,175,254 ","1,201,827 ","1,230,691 ","1,247,533 ","1,264,978 ","1,279,345 ","1,291,816 ","1,302,336 ","1,315,299 ","1,326,876 ","1,338,982 ","1,352,795 ","1,369,332 ","1,385,141 ","1,397,997 "
CZ031,Jihočeský kraj,"625,874 ","624,568 ","625,097 ","625,541 ","625,712 ","627,766 ","630,006 ","633,264 ","636,328 ","637,643 ","638,706 ","636,138 ","636,611 ","636,707 ","637,300 ","637,834 ","638,782 ","640,196 ","642,133 ","644,083 ","643,551 "
CZ032,Plzeňský kraj,"551,281 ","549,600 ","549,374 ","550,113 ","549,618 ","551,528 ","554,537 ","561,074 ","569,627 ","571,863 ","572,045 ","571,709 ","572,687 ","573,469 ","575,123 ","576,616 ","578,629 ","580,816 ","584,672 ","589,899 ","591,041 "
CZ041,Karlovarský kraj,"304,400 ","303,714 ","304,220 ","304,249 ","304,588 ","304,274 ","304,602 ","307,449 ","308,403 ","307,636 ","307,444 ","303,165 ","301,726 ","300,309 ","299,293 ","297,828 ","296,749 ","295,686 ","294,896 ","294,664 ","293,311 "
CZ042,Ústecký kraj,"827,013 ","819,450 ","819,712 ","820,868 ","822,133 ","823,173 ","823,265 ","831,180 ","835,891 ","836,198 ","836,045 ","828,026 ","826,764 ","825,120 ","823,972 ","822,826 ","821,377 ","821,080 ","820,789 ","820,965 ","817,004 "
CZ051,Liberecký kraj,"429,121 ","427,396 ","427,321 ","427,722 ","427,563 ","429,031 ","430,774 ","433,948 ","437,325 ","439,027 ","439,942 ","438,600 ","438,594 ","438,609 ","438,851 ","439,639 ","440,636 ","441,300 ","442,356 ","443,690 ","442,476 "
CZ052,Královéhradecký kraj,"550,780 ","549,329 ","548,437 ","547,563 ","547,296 ","548,368 ","549,643 ","552,212 ","554,520 ","554,402 ","554,803 ","553,856 ","552,946 ","551,909 ","551,590 ","551,421 ","550,804 ","551,089 ","551,021 ","551,647 ","550,803 "
CZ053,Pardubický kraj,"508,566 ","507,176 ","506,534 ","505,486 ","505,285 ","506,024 ","507,751 ","511,400 ","515,185 ","516,329 ","517,164 ","516,411 ","516,440 ","515,985 ","516,372 ","516,149 ","517,087 ","518,337 ","520,316 ","522,662 ","522,856 "
CZ063,Kraj Vysočina,"520,763 ","518,315 ","517,630 ","517,511 ","517,153 ","510,767 ","511,645 ","513,677 ","515,411 ","514,992 ","514,569 ","511,937 ","511,207 ","510,209 ","509,895 ","509,475 ","508,952 ","508,916 ","509,274 ","509,813 ","508,852 "
CZ064,Jihomoravský kraj,"1,135,586 ","1,124,493 ","1,121,792 ","1,122,570 ","1,123,201 ","1,130,358 ","1,132,563 ","1,140,534 ","1,147,146 ","1,151,708 ","1,154,654 ","1,166,313 ","1,168,650 ","1,170,078 ","1,172,853 ","1,175,025 ","1,178,812 ","1,183,207 ","1,187,667 ","1,191,989 ","1,195,327 "
CZ071,Olomoucký kraj,"641,072 ","638,374 ","636,750 ","636,313 ","635,126 ","639,161 ","639,894 ","641,791 ","642,137 ","642,041 ","641,681 ","638,638 ","637,609 ","636,356 ","635,711 ","634,718 ","633,925 ","633,178 ","632,492 ","632,015 ","630,522 "
CZ072,Zlínský kraj,"597,890 ","594,060 ","593,130 ","591,866 ","590,706 ","590,142 ","589,839 ","590,780 ","591,412 ","591,042 ","590,361 ","589,030 ","587,693 ","586,299 ","585,261 ","584,676 ","583,698 ","583,056 ","582,921 ","582,555 ","580,119 "
CZ080,Moravskoslezský kraj,"1,278,036 ","1,265,912 ","1,262,660 ","1,260,277 ","1,257,554 ","1,250,769 ","1,249,290 ","1,249,897 ","1,250,255 ","1,247,373 ","1,243,220 ","1,230,613 ","1,226,602 ","1,221,832 ","1,217,676 ","1,213,311 ","1,209,879 ","1,205,886 ","1,203,299 ","1,200,539 ","1,192,834 "
