LAU1,vaccination_count,infected_count,0-14,15-59,60+,název
CZ0100,76421,150427,212824,802869,319391,Praha
CZ0201,6493,12392,16757,56147,26838,Benešov
CZ0202,5815,12161,17267,56189,22947,Beroun
CZ0203,10111,20902,28172,97381,41292,Kladno
CZ0204,6730,15447,18311,61291,26654,Kolín
CZ0205,4520,9176,11883,43328,21099,Kutná Hora
CZ0206,6131,14567,18851,64691,26445,Mělník
CZ0207,7650,17712,21681,77735,31626,Mladá Boleslav
CZ0208,5761,13318,17413,57592,24210,Nymburk
CZ0209,10759,25156,40033,111846,37060,Praha-východ
CZ020A,10509,18478,31887,89380,31018,Praha-západ
CZ020B,7482,12517,18173,65739,31324,Příbram
CZ020C,3608,6019,8853,31632,15252,Rakovník
CZ0311,11607,25262,32988,113304,50310,České Budějovice
CZ0312,3915,7396,10060,35720,15540,Český Krumlov
CZ0313,6845,11641,13625,50621,26033,Jindřichův Hradec
CZ0314,4856,9553,10932,40166,20490,Písek
CZ0315,3442,6228,7916,29256,13607,Prachatice
CZ0316,4357,8976,11062,39834,19636,Strakonice
CZ0317,5978,11597,15907,57558,28986,Tábor
CZ0321,2948,6495,8772,31847,14649,Domažlice
CZ0322,4349,11390,12745,48705,24803,Klatovy
CZ0323,10715,26031,30268,112584,51988,Plzeň-město
CZ0324,4587,9538,11078,40467,18586,Plzeň-jih
CZ0325,4822,10823,13154,47348,20169,Plzeň-sever
CZ0326,3738,7256,7742,28459,13288,Rokycany
CZ0327,2735,7074,8541,32516,13332,Tachov
CZ0411,4083,10698,14089,52824,24521,Cheb
CZ0412,5254,12186,16668,65425,32281,Karlovy Vary
CZ0413,3667,10750,13761,51198,22544,Sokolov
CZ0421,7396,15633,20711,73079,34659,Děčín
CZ0422,6234,11669,19703,74287,30610,Chomutov
CZ0423,5917,13144,19440,68340,31397,Litoměřice
CZ0424,5234,9701,13977,50003,22384,Louny
CZ0425,6331,12416,17524,65076,28333,Most
CZ0426,6783,13865,20317,75768,32745,Teplice
CZ0427,7914,13595,19484,68764,30403,Ústí nad Labem
CZ0511,5323,13034,16740,60027,26231,Česká Lípa
CZ0512,5086,12377,14417,49953,23877,Jablonec nad Nisou
CZ0513,8824,22364,28624,98265,43007,Liberec
CZ0514,4659,8708,12907,45893,22535,Semily
CZ0521,8869,22906,26050,91999,46386,Hradec Králové
CZ0522,4874,10013,12496,45364,22274,Jičín
CZ0523,7606,13855,16921,61458,31108,Náchod
CZ0524,4790,10413,12672,45290,21371,Rychnov nad Kněžnou
CZ0525,6707,16070,17984,66434,32996,Trutnov
CZ0531,5848,13795,16512,59706,28490,Chrudim
CZ0532,9067,25709,28419,102037,45681,Pardubice
CZ0533,6072,12505,16422,59682,27896,Svitavy
CZ0534,6754,19230,22266,79124,36621,Ústí nad Orlicí
CZ0631,5877,10177,14863,53112,26211,Havlíčkův Brod
CZ0632,7640,12747,18626,65649,29815,Jihlava
CZ0633,4656,7750,10664,41122,20512,Pelhřimov
CZ0634,7312,10482,16550,63376,30411,Třebíč
CZ0635,7053,12701,18948,67937,31056,Žďár nad Sázavou
CZ0641,6965,12908,18098,61808,29198,Blansko
CZ0642,22221,41677,59790,221211,101404,Brno-město
CZ0643,13360,26771,41455,131031,53956,Brno-venkov
CZ0644,6765,12237,17930,67621,30931,Břeclav
CZ0645,10193,15551,22176,88668,42763,Hodonín
CZ0646,5196,11854,15751,53503,23481,Vyškov
CZ0647,7159,13361,18220,66062,30270,Znojmo
CZ0711,1882,3044,5327,21309,11073,Jeseník
CZ0712,12714,30725,38916,134757,61768,Olomouc
CZ0713,6590,13264,17131,61899,29474,Prostějov
CZ0714,8033,15770,19281,73860,35760,Přerov
CZ0715,6414,14487,18604,67717,33646,Šumperk
CZ0721,6303,10924,15985,59553,29288,Kroměříž
CZ0722,8813,13952,21263,81322,39045,Uherské Hradiště
CZ0723,8114,15483,22063,81639,38194,Vsetín
CZ0724,13042,22688,29332,109553,52882,Zlín
CZ0801,5963,9611,13292,51988,25691,Bruntál
CZ0802,11087,25236,34311,124615,55661,Frýdek-Místek
CZ0803,14618,27897,35473,140743,66563,Karviná
CZ0804,9375,16850,24508,87675,39215,Nový Jičín
CZ0805,11042,23122,27912,101173,46692,Opava
CZ0806,17486,37661,48273,185145,83904,Ostrava-město
